,subject,iteration,session,offline_dist,best_strength_1,best_strength_2,best_strength_3,best_strength_4,best_decayconstant_1,best_decayconstant_2,best_decayconstant_3,best_decayconstant_4,intercept,spatial_distance_coef,repetition_coef,error_coef,posterror_coef,prob_coef,NLL
32,102,0,9,0,21.369322372651517,21.369322372651517,21.369322372651517,21.369322372651517,73.79912933417864,73.79912933417864,73.79912933417864,73.79912933417864,254.17871239697223,-0.0848997956536256,-37.5344018373373,-11.54378266761869,0.993580723106375,45.435915663991686,-4177.172862182171
33,102,0,10,0,41.24082400493457,41.24082400493457,41.24082400493457,41.24082400493457,57.06213038988046,57.06213038988046,57.06213038988046,57.06213038988046,228.10627583650276,-3.897011747476048,-36.55174370772588,-18.95253556624876,-11.09600154836969,63.06443625062936,-4100.551980559574
34,102,0,11,0,1.0573520149882611,1.0573520149882611,1.0573520149882611,1.0573520149882611,29.32029490608131,29.32029490608131,29.32029490608131,29.32029490608131,272.28271386868784,1.4546107139202142,-29.997982131003166,-19.92030081658385,-11.164942898804062,15.078174610203199,-3897.8038974702777
35,102,0,12,0,7.560435226014076,7.560435226014076,7.560435226014076,7.560435226014076,55.51262413069638,55.51262413069638,55.51262413069638,55.51262413069638,241.1389089544583,-2.347075460520229,-36.93289874313355,-19.150016733802484,-3.4961326445630885,36.96502238428489,-4170.938187786836
36,102,1,1,0,43.44472353876091,43.44472353876091,43.44472353876091,43.44472353876091,23.38975797259669,23.38975797259669,23.38975797259669,23.38975797259669,337.29563156362656,5.536302806743524,-34.167212353834515,-72.20141036614227,15.521804660005527,45.90608001705998,-690.1531870535154
37,102,1,2,0,2.270735645829115,2.270735645829115,2.270735645829115,2.270735645829115,42.15293315697246,42.15293315697246,42.15293315697246,42.15293315697246,365.85998424551303,10.621115498770527,-15.335408630103114,-39.34029547088367,-5.012679468489608,7.200120095073833,-665.927559393057
38,102,1,3,0,29.422456761181405,29.422456761181405,29.422456761181405,29.422456761181405,31.938915915889165,31.938915915889165,31.938915915889165,31.938915915889165,260.21345275962403,11.713517121073945,2.6950387467842694,-14.542297521082112,18.05058245639668,63.17064349089993,-772.7940591217343
39,102,1,4,0,34.9422683062473,34.9422683062473,34.9422683062473,34.9422683062473,66.63215106863494,66.63215106863494,66.63215106863494,66.63215106863494,335.7491975646504,4.7211852155047165,-6.6276157150208395,-22.49172804504498,-5.008186861830233,18.184072269328272,-765.9307757732477
40,102,1,5,0,46.357899386221455,46.357899386221455,46.357899386221455,46.357899386221455,56.3388723881102,56.3388723881102,56.3388723881102,56.3388723881102,433.04184774455604,-7.085100832827452,-38.57541665206881,-4.238414238547979,-10.122177212041812,-33.81018472347109,-773.1119932040838
41,102,1,6,0,9.640993143808828,9.640993143808828,9.640993143808828,9.640993143808828,55.61758826417124,55.61758826417124,55.61758826417124,55.61758826417124,324.9623042563162,1.540187787753322,-20.14684158923357,-14.543818719434574,4.127353001974251,13.401680968436299,-4280.087165910822
42,102,1,7,0,32.535608624681146,32.535608624681146,32.535608624681146,32.535608624681146,78.51687415841114,78.51687415841114,78.51687415841114,78.51687415841114,272.0908611692295,-5.630861585969483,-43.961081436237116,-19.84020363376929,1.928663331639627,53.601554343314184,-4406.2433889609965
43,102,1,8,0,25.16044037373435,25.16044037373435,25.16044037373435,25.16044037373435,51.37946373015864,51.37946373015864,51.37946373015864,51.37946373015864,257.673355122826,-4.163056391326342,-37.8291201685514,-21.397564637167367,-0.1292790274659834,46.46131684866575,-4457.5900800033105
44,102,1,9,0,32.55735906097042,32.55735906097042,32.55735906097042,32.55735906097042,56.20796532436297,56.20796532436297,56.20796532436297,56.20796532436297,243.89978756334537,-0.20035432143550336,-37.65894388131759,-9.863526697869744,-0.020520485189580828,51.82171274889845,-4142.917396436984
45,102,1,10,0,2.7639951702964396,2.7639951702964396,2.7639951702964396,2.7639951702964396,42.056255651340905,42.056255651340905,42.056255651340905,42.056255651340905,291.6671578935504,-3.6890691100465887,-37.63901792365546,-20.20271991564287,-9.887269893277168,16.818757085763263,-4138.787898982742
46,102,1,11,0,14.868477185945835,14.868477185945835,14.868477185945835,14.868477185945835,67.18393610282612,67.18393610282612,67.18393610282612,67.18393610282612,226.69058009545432,1.9220773035165672,-29.03310812485019,-20.300229103336772,-11.807255040239571,50.705917400984355,-3931.549624451341
47,102,1,12,0,47.596460560722214,47.596460560722214,47.596460560722214,47.596460560722214,40.20806274865345,40.20806274865345,40.20806274865345,40.20806274865345,175.76613603297113,-1.5364481026032335,-33.74970871154262,-14.597410979281689,-5.2686260343327715,80.90536183161596,-4036.415713516725
