subject,iteration,session,offline_dist,best_strength_1,best_strength_2,best_strength_3,best_strength_4,best_decayconstant_1,best_decayconstant_2,best_decayconstant_3,best_decayconstant_4,intercept,spatial_distance_coef,repetition_coef,error_coef,posterror_coef,prob_coef,NLL
101,1,1,0,16.65054000133764,16.65054000133764,16.65054000133764,16.65054000133764,40.58770184533656,40.58770184533656,40.58770184533656,40.58770184533656,435.86775753504094,3.6026953148419714,-5.099089659052456,-63.8466038960559,69.14650185124137,6.086082241703631,-567.6823712266719
101,1,2,0,37.824541049927035,37.824541049927035,37.824541049927035,37.824541049927035,61.43966744390408,61.43966744390408,61.43966744390408,61.43966744390408,281.72089465112515,12.930788224915275,-21.230216042595494,-64.91243297122809,41.63880943973387,91.94128117578765,-613.1973262227272
101,1,3,0,12.546411844219312,12.546411844219312,12.546411844219312,12.546411844219312,34.433672281322586,34.433672281322586,34.433672281322586,34.433672281322586,328.87624592130794,24.5125529715451,-15.05424921127401,-54.29237404357447,13.117134921587098,34.93476687312999,-586.9965574013759
101,1,4,0,24.668792111876172,24.668792111876172,24.668792111876172,24.668792111876172,61.107358220767594,61.107358220767594,61.107358220767594,61.107358220767594,259.577722206769,30.457536153263423,9.789650970818652,-44.28174527156885,28.94192498145977,67.5097958419953,-622.2316539462167
101,1,5,0,29.730274827517768,29.730274827517768,29.730274827517768,29.730274827517768,76.26288410908387,76.26288410908387,76.26288410908387,76.26288410908387,301.3952428191098,29.662130526854256,-16.715575027720966,-62.091772021458944,31.835976378049615,34.440014425188366,-652.976661597822
101,1,6,0,38.80802377716583,38.80802377716583,38.80802377716583,38.80802377716583,28.04652501318205,28.04652501318205,28.04652501318205,28.04652501318205,234.41567476749725,24.299586666285848,-4.15771212558669,-42.304946521782746,22.476846505478658,69.95293088588762,-3702.195161559222
101,1,7,0,2.5375668132699474,2.5375668132699474,2.5375668132699474,2.5375668132699474,18.61401660704285,18.61401660704285,18.61401660704285,18.61401660704285,306.77668984766404,22.98136678108764,0.2925680084027893,-23.521450127142042,17.672988312037468,5.6835552067351,-3961.243460383059
101,1,8,0,30.39408909563704,30.39408909563704,30.39408909563704,30.39408909563704,75.09049265840935,75.09049265840935,75.09049265840935,75.09049265840935,225.48119711632967,26.418109192428023,15.005299929533008,-26.692790550312157,9.245491414337453,45.05787137895059,-3924.5324425382732
101,1,9,0,1.0840752790765293,1.0840752790765293,1.0840752790765293,1.0840752790765293,50.818577987279774,50.818577987279774,50.818577987279774,50.818577987279774,276.30611339751346,24.254994042785256,6.530495234172695,-39.44437416324637,5.09961306589439,10.094058496953656,-3812.780449711271
101,1,10,0,40.46183412068704,40.46183412068704,40.46183412068704,40.46183412068704,40.375263889319896,40.375263889319896,40.375263889319896,40.375263889319896,206.87446620726888,15.449704613477838,2.4377987852181215,-34.75551120960151,1.9409965154007052,58.30738668098977,-3831.2578219914153
101,1,11,0,12.208464352595858,12.208464352595858,12.208464352595858,12.208464352595858,38.55559427544779,38.55559427544779,38.55559427544779,38.55559427544779,235.11763162442844,20.22042473613039,1.717714099859079,-26.613905246554815,1.5561971025735053,33.46800741957216,-4017.072939407892
101,1,12,0,22.752410681502635,22.752410681502635,22.752410681502635,22.752410681502635,43.130433493221,43.130433493221,43.130433493221,43.130433493221,219.1480193816228,18.86084212964759,0.811022028662145,-32.64887433416305,5.964816434290985,42.14569332310225,-3838.286683106732
